Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BEHzai4XWVaVvACk9nOCS,"Promise","Pathos","yeule",2016-12-11,240014,25,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.144,0.215,0,-19.489,1,0.0409,0.988,0.921,0.107,0.0929,80.596,5
spotify:track:4AbIbGoEUiKat26lKikYcP,"I Miss You This Much","Coma","yeule",2017-09-27,244000,25,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:43Z,"art pop","Yeule",0.147,0.419,0,-9.834,1,0.0434,0.659,0.000933,0.0986,0.114,75.011,5
spotify:track:1dTBSh8sooPL0G4pqWje5F,"I Saw You in My Dreams Last Night","Coma","yeule",2017-09-27,232250,21,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:43Z,"art pop","Yeule",0.202,0.558,0,-8.022,1,0.0374,0.539,0.0676,0.0814,0.147,118.939,4
spotify:track:2O3wQXgWc797hb5JUq2OUr,"Death of an A.I.","Coma","yeule",2017-09-27,220000,21,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:43Z,"art pop","Yeule",0.395,0.403,0,-15.594,1,0.0434,0.973,0.768,0.124,0.0459,80.061,3
spotify:track:04bl6Witjc8e54RtFk7zed,"Separation Anxiety","Coma","yeule",2017-09-27,222500,20,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:43Z,"art pop","Yeule",0.193,0.343,0,-9.559,1,0.0331,0.879,0.00000724,0.0847,0.199,103.228,4
spotify:track:5ucfw4095n0cH73eWAWq9G,"How Could I Forget You","Coma","yeule",2017-09-27,233500,20,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:43Z,"art pop","Yeule",0.377,0.591,0,-10.282,1,0.0392,0.0887,0.000135,0.24,0.191,109.968,4
spotify:track:2TsykXQKwEBjrPz7BJLiG4,"Your Shadow","Serotonin II","yeule",2019-10-25,78720,30,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.178,0.156,0,-17.581,1,0.0377,0.957,0.724,0.0489,0.0364,73.798,4
spotify:track:5Pljdb5h9t6AwhDZAv2h1v,"Poison Arrow","Serotonin II","yeule",2019-10-25,260685,39,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.295,0.496,1,-8.47,1,0.0376,0.897,0.0313,0.0764,0.0322,130.008,4
spotify:track:5Wn54pnxc4P9Pc37ti0dct,"Eva","Serotonin II","yeule",2019-10-25,214954,34,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.176,0.521,2,-8.92,1,0.0302,0.728,0.445,0.0862,0.0838,99.914,4
spotify:track:3PiYEkKow76Y6QYLNRcATF,"See You Space Cowboy","Serotonin II","yeule",2019-10-25,75138,28,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.311,0.179,7,-24.225,1,0.376,0.934,0.948,0.0932,0.227,112.364,4
spotify:track:2c5bFJ82YxgGprGjOq1OaO,"Pixel Affection","Serotonin II","yeule",2019-10-25,219331,40,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.42,0.557,0,-8.969,1,0.0412,0.055,0.0102,0.247,0.0736,116.104,4
spotify:track:6SncjkgTtDGlnpuIquKPCl,"Nuclear War Post IV","Serotonin II","yeule",2019-10-25,50129,30,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.188,0.39,9,-22.583,1,0.106,0.855,0.799,0.105,0.0248,71.227,5
spotify:track:6Ts2TyVBF6Osom4IV88JNr,"Pocky Boy","Serotonin II","yeule",2019-10-25,241388,44,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.435,0.669,1,-10.202,0,0.123,0.737,0.00152,0.106,0.0734,130.009,4
spotify:track:1wl53ydLl7vh2t7bFMZ5dn,"Pretty Bones","Serotonin II","yeule",2019-10-25,273260,39,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.487,0.61,0,-10.243,1,0.0614,0.107,0.0782,0.207,0.0684,140.075,4
spotify:track:0CgPQLC958e6pAPCnMAy0G,"Reverie","Serotonin II","yeule",2019-10-25,284050,32,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.253,0.529,0,-14.141,1,0.0575,0.874,0.935,0.119,0.0374,126.789,4
spotify:track:7e4yKVgaJjOVyHFHEYKVWr,"Blue Butterfly","Serotonin II","yeule",2019-10-25,233032,31,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.215,0.313,0,-12.71,1,0.0333,0.596,0.749,0.115,0.0389,63.589,4
spotify:track:1B9O3T7mzx9SyS5bsAaZPu,"An Angel Held Me Like a Child","Serotonin II","yeule",2019-10-25,262187,33,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.424,0.429,4,-8.282,1,0.0318,0.831,0.41,0.0594,0.121,119.994,4
spotify:track:53BrzXg9h1hWhRUM9svCGi,"Veil of Darkness","Serotonin II","yeule",2019-10-25,294621,27,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:24Z,"art pop","Bayonet Records",0.281,0.383,7,-13.537,1,0.0578,0.93,0.846,0.164,0.033,127.436,4
spotify:track:1yXwjJKdENIACBE2s80Lfl,"My Name is Nat Cmiel","Glitch Princess","yeule",2022-02-04,171269,23,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.526,0.571,11,-11.698,1,0.524,0.519,0,0.309,0.415,133.101,5
spotify:track:1LQYqouXZXneMu6GUkKshf,"Electric","Glitch Princess","yeule",2022-02-04,195920,30,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.524,0.221,0,-11.821,1,0.0338,0.61,0.00152,0.171,0.263,111.125,4
spotify:track:5xDAvI5JfqGYKrcMgrHldO,"Flowers are Dead","Glitch Princess","yeule",2022-02-04,255542,26,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.109,0.472,2,-10.038,1,0.037,0.742,0.0677,0.111,0.0394,159.07,3
spotify:track:0OaGQVO7FpWBkOZ4LnjTzw,"Eyes","Glitch Princess","yeule",2022-02-04,248998,27,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.365,0.244,6,-9.812,1,0.0329,0.78,0.00543,0.0713,0.0515,127.33,4
spotify:track:6tuTb8QDtabuIySxAySqUI,"Perfect Blue","Glitch Princess","yeule;Tohji",2022-02-04,179189,29,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop,j-rap","Bayonet Records",0.516,0.504,2,-11.015,1,0.0478,0.505,0.302,0.266,0.0436,119.921,4
spotify:track:1MgWwiWSF8UeoNfkxOOiGH,"Don't Be So Hard on Your Own Beauty","Glitch Princess","yeule",2022-02-04,192254,38,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.401,0.435,3,-6.452,1,0.027,0.691,0,0.133,0.193,158.08,4
spotify:track:44kccFT4VkgIjMo18SaeGa,"Fragments","Glitch Princess","yeule",2022-02-04,254226,24,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.245,0.496,0,-7.148,1,0.0385,0.198,0.00461,0.157,0.0382,119.48,4
spotify:track:3xpjud2OuXqfbzLve7j0OV,"Too Dead Inside","Glitch Princess","yeule",2022-02-04,205774,32,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.395,0.785,7,-8.15,0,0.0934,0.157,0.000535,0.0812,0.21,103.002,4
spotify:track:3c8QXE2NQBVrtMSTXAofor,"Bites on My Neck","Glitch Princess","yeule",2022-02-04,288573,34,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.34,0.716,5,-6.485,1,0.0353,0.0236,0.011,0.315,0.174,150.009,4
spotify:track:3j1Tgj5hBLhC9YMOF5YXpJ,"I <3 U","Glitch Princess","yeule",2022-02-04,238841,29,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.234,0.726,11,-7.126,1,0.0454,0.00823,0.238,0.107,0.0703,117.419,4
spotify:track:1Aqg1scimT18vq025TdAhp,"Friendly Machine","Glitch Princess","yeule",2022-02-04,226646,27,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.365,0.774,1,-6.381,1,0.112,0.587,0.0000199,0.0548,0.117,132.818,4
spotify:track:0XXG3I04gjwqU9Q8rxQk8y,"Mandy","Glitch Princess","yeule",2022-02-04,140049,23,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",0.389,0.78,0,-6.257,1,0.0468,0.13,0.541,0.289,0.101,119.918,4
spotify:track:2QriXzI1vNbV0dXEJkO8x1,"The Things They Did for Me Out of Love","Glitch Princess","yeule",2022-02-04,17040000,24,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:26Z,"art pop","Bayonet Records",,,,,,,,,,,,
spotify:track:23M9FijuZP9MsVQrCLdqct,"x w x","softscars","yeule",2023-09-22,145038,39,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.392,0.992,5,-4.29,1,0.241,0.00149,0.0000409,0.276,0.0397,138.053,4
spotify:track:2Euwbryh21DOB5zEH0WT4P,"sulky baby","softscars","yeule",2023-09-22,278998,44,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.373,0.557,2,-8.686,1,0.0265,0.429,0.00124,0.0734,0.219,160.032,4
spotify:track:2Osa2ri9Mrsb4gSepTGMBB,"softscars","softscars","yeule",2023-09-22,206099,39,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.486,0.834,3,-5.541,1,0.0637,0.00369,0,0.169,0.356,94.025,4
spotify:track:7HHw7Lr6QHhq4wh3B1AJ13,"4ui12","softscars","yeule",2023-09-22,163695,37,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.563,0.972,1,-3.938,0,0.0325,0.00145,0.00694,0.306,0.626,114.98,4
spotify:track:7GdSLb8jQgVlCuzqHEMauZ,"ghosts","softscars","yeule",2023-09-22,220776,39,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.558,0.516,8,-6.045,1,0.0264,0.476,0.0997,0.161,0.131,139.919,4
spotify:track:0qNRoqAohqJefbeZiTV1xF,"dazies","softscars","yeule",2023-09-22,264854,44,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.304,0.628,4,-5.342,1,0.049,0.00524,0.0102,0.337,0.45,141.946,4
spotify:track:2PGvoK4he6AxrPHOXQDGHe,"fish in the pool","softscars","yeule",2023-09-22,151711,36,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.47,0.17,7,-19.132,1,0.035,0.981,0.9,0.708,0.321,75.545,4
spotify:track:3LRDyb0D7xn2L9Yl8ZcDoV,"software update","softscars","yeule",2023-09-22,216514,35,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.524,0.632,8,-6.954,1,0.0326,0.395,0.0000754,0.472,0.487,132.973,3
spotify:track:3a8H9SY7zTGJt5h4679dPy,"inferno","softscars","yeule",2023-09-22,194928,37,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.575,0.617,7,-6.978,1,0.067,0.562,0.0528,0.222,0.0512,120.003,4
spotify:track:4YI6091q0mWguKWkPnky2B,"bloodbunny","softscars","yeule",2023-09-22,162346,35,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.724,0.424,9,-8.448,1,0.0317,0.569,0.053,0.0875,0.271,109.934,4
spotify:track:1TebdBxUoNUicUQZesNuEM,"cyber meat","softscars","yeule",2023-09-22,186987,40,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.527,0.78,2,-4.264,1,0.0418,0.0134,0.000128,0.101,0.552,160.139,4
spotify:track:55iztv7QuxLx1Twb8iXA00,"aphex twin flame","softscars","yeule",2023-09-22,218427,35,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:28Z,"art pop","Ninja Tune",0.349,0.257,7,-11.907,1,0.0369,0.595,0.0000405,0.112,0.27,145.842,4
spotify:track:1FdXjK51WiADU7mR5TNgKY,"Tequila Coma","Evangelic Girl is a Gun","yeule",2025-05-30,171000,40,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.649,0.872,8,-4.5,1,0.0755,0.0147,0.374,0.107,0.838,79.99,4
spotify:track:6xG29xCMe3uQaZcxLFoE4x,"The Girl Who Sold Her Face","Evangelic Girl is a Gun","yeule",2025-05-30,169174,41,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.574,0.76,11,-5.429,0,0.0292,0.00911,0.0485,0.127,0.504,91.991,4
spotify:track:5evQ6IgsuoLl98hlMlLoKN,"Eko","Evangelic Girl is a Gun","yeule",2025-05-30,223187,45,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.629,0.823,2,-6.252,1,0.0415,0.0895,0.000135,0.236,0.621,124.002,4
spotify:track:3uzjBwojjxmH5XLqlsgLmU,"1967","Evangelic Girl is a Gun","yeule",2025-05-30,231624,39,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.55,0.873,6,-6.55,1,0.0369,0.00944,0.1,0.16,0.378,112.011,4
spotify:track:73GVuA6DM30ylDTOceb9Sg,"VV","Evangelic Girl is a Gun","yeule",2025-05-30,230000,40,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.505,0.531,11,-9.373,1,0.0286,0.306,0.518,0.132,0.196,59.975,4
spotify:track:5vkJZHiK2s7Os8AM1vInjv,"Dudu","Evangelic Girl is a Gun","yeule",2025-05-30,186129,48,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.59,0.954,8,-4.799,1,0.0403,0.166,0.00152,0.221,0.539,107.022,4
spotify:track:5jqRZna4pjmgETTNo349Rk,"What3vr","Evangelic Girl is a Gun","yeule",2025-05-30,167692,41,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.546,0.594,4,-7.058,1,0.0457,0.132,0.00293,0.242,0.445,77.97,4
spotify:track:3QOwGfSK65tEAZKAZi4yIS,"Saiko","Evangelic Girl is a Gun","yeule",2025-05-30,210013,42,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.555,0.768,8,-7.35,1,0.0558,0.122,0.00000117,0.62,0.115,109.932,4
spotify:track:2jjLiYXjmDzfyul2IJ6EVa,"Evangelic Girl is a Gun","Evangelic Girl is a Gun","yeule",2025-05-30,183062,49,true,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.433,0.895,6,-6.301,0,0.0924,0.000458,0.00000153,0.36,0.377,118.05,4
spotify:track:4D7D7hTAqmgFaYb3UirDMa,"Skullcrusher","Evangelic Girl is a Gun","yeule",2025-05-30,127500,39,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:46:30Z,"art pop","Ninja Tune",0.504,0.601,7,-7.389,1,0.0396,0.0000981,0.27,0.0921,0.151,119.281,4
